"Postal Areas (UR) by Highest Year of School Completed (HSCP)"
"Counting: Persons, Place of Usual Residence"

,"Highest Year of School Completed (HSCP)","Year 12 or equivalent","Year 11 or equivalent","Year 10 or equivalent","Year 9 or equivalent","Year 8 or below","Did not go to school","Not stated","Not applicable","Total",
,"Postal Areas (UR)",
,"5139, SA",62,21,28,9,7,0,12,37,176,
,"5140, SA",231,58,34,10,3,0,10,111,457,
,"5141, SA",329,109,69,21,17,0,34,119,698,
,"5142, SA",219,74,86,25,34,5,11,94,548,
,"5144, SA",199,79,56,13,4,3,16,66,436,
,"5151, SA",153,56,37,16,14,0,17,74,367,
,"5152, SA",3161,672,533,157,89,6,204,1197,6019,
,"5153, SA",2792,957,751,238,152,4,223,1334,6451,
,"5154, SA",1752,382,277,87,42,3,64,596,3203,
,"5155, SA",1791,536,392,109,52,0,115,776,3771,
,"5156, SA",468,149,98,33,13,0,27,217,1005,
,"5157, SA",1135,465,400,107,73,4,60,475,2719,
,"5158, SA",9660,4131,3242,859,498,38,896,4703,24027,
,"5159, SA",13431,5691,4485,1298,729,38,1217,6259,33148,
,"5160, SA",4,5,9,0,5,0,0,4,27,
,"5161, SA",3060,1840,1702,512,429,26,450,1764,9783,
,"5162, SA",10009,6049,5837,1950,1370,78,1802,6361,33456,
,"5163, SA",3795,2484,2674,906,667,30,787,2810,14153,
,"5164, SA",1192,798,997,334,311,22,510,972,5136,
,"5165, SA",1508,857,911,339,220,10,497,925,5267,
,"5166, SA",469,329,395,147,109,5,127,353,1934,
,"5167, SA",1746,948,878,277,234,5,310,853,5251,
,"5168, SA",1408,839,851,269,191,17,222,945,4742,
,"5169, SA",4290,2304,2347,657,434,21,889,2983,13925,
,"5170, SA",417,185,183,45,32,0,88,184,1134,
,"5171, SA",1957,938,965,261,263,10,237,1096,5727,
,"5172, SA",1466,672,563,182,127,15,123,764,3912,
,"5173, SA",3394,1997,1912,544,344,27,750,2850,11818,
,"5174, SA",799,458,436,137,85,11,114,518,2558,
,"5201, SA",572,318,317,97,50,0,60,338,1752,
,"5202, SA",152,108,124,36,32,0,33,108,593,
,"5203, SA",280,181,202,46,92,3,70,147,1021,
,"5204, SA",703,403,484,178,127,8,141,293,2337,
,"5210, SA",501,311,318,75,54,4,75,393,1731,
,"5211, SA",3971,2476,2844,1013,960,30,1214,1942,14450,
,"5212, SA",622,368,369,131,105,0,95,278,1968,
,"5213, SA",351,183,189,47,45,0,58,201,1074,
,"5214, SA",2140,1339,1573,606,526,11,532,1067,7794,
,"5220, SA",45,22,27,11,4,0,0,33,142,
,"5221, SA",72,37,38,18,15,0,7,30,217,
,"5222, SA",208,96,116,30,25,0,41,81,597,
,"5223, SA",1024,588,582,211,199,4,215,641,3464,
,"5231, SA",401,234,183,48,35,0,34,238,1173,
,"5232, SA",168,88,68,21,12,0,16,101,474,
,"5233, SA",482,250,248,57,54,0,69,234,1394,
,"5234, SA",437,257,195,59,44,6,25,276,1299,
,"5235, SA",536,342,297,106,94,3,216,337,1931,
,"5236, SA",156,120,102,46,16,4,36,117,597,
,"5237, SA",12,16,8,7,6,0,9,17,75,
,"5238, SA",804,625,730,321,366,3,298,553,3700,
,"5240, SA",195,93,84,22,16,0,25,95,530,
,"5241, SA",685,366,389,119,174,10,102,499,2344,
,"5242, SA",411,180,136,43,44,3,42,216,1075,
,"5243, SA",410,152,117,37,19,0,42,146,923,
,"5244, SA",1436,672,552,209,165,9,370,891,4304,
,"5245, SA",1367,502,430,151,153,9,191,620,3423,
,"5250, SA",1212,452,407,118,63,0,89,762,3103,
,"5251, SA",4435,2117,1806,587,501,11,501,2730,12688,
,"5252, SA",1967,1000,858,255,140,5,154,1407,5786,
,"5253, SA",3784,2836,3169,1324,1559,125,1683,3406,17886,
,"5254, SA",564,406,416,159,130,0,121,468,2264,
,"5255, SA",2574,1550,1414,498,472,17,352,1645,8522,
,"5256, SA",325,207,236,80,66,3,51,158,1126,
,"5259, SA",138,128,150,54,45,0,50,142,707,
,"5260, SA",314,304,372,167,197,6,134,309,1803,
,"5261, SA",89,69,59,31,32,0,20,92,392,
,"5262, SA",140,120,77,25,20,0,27,122,531,
,"5263, SA",115,59,43,19,14,0,10,76,336,
,"5264, SA",310,242,258,91,138,5,192,264,1500,
,"5265, SA",222,154,125,40,52,0,37,186,816,
,"5266, SA",70,47,52,14,24,4,18,49,278,
,"5267, SA",591,384,343,117,137,5,81,491,2149,
,"5268, SA",722,532,557,208,225,19,124,617,3004,
,"5269, SA",63,47,45,20,18,0,9,74,276,
,"5270, SA",251,212,144,68,92,3,22,222,1014,
,"5271, SA",1738,1181,1145,427,451,79,393,1311,6725,
,"5272, SA",318,164,160,39,55,0,36,207,979,
,"5275, SA",557,388,462,151,199,6,156,362,2281,
